1800.00,2003.30,1487.20,3.67,1310.00,3.94
1850.00,2065.30,1534.90,3.70,1475.00,3.60
1900.00,2127.40,1582.60,3.74,1655.00,3.30
1950.00,2189.70,1630.60,3.77,1852.00,3.02
2000.00,2252.10,1678.70,3.80,2068.00,2.78
2050.00,2314.60,1726.80,3.83,2303.00,2.56
2100.00,2377.40,1775.30,3.86,2559.00,2.36
2150.00,2440.30,1823.80,3.89,2837.00,2.18
2200.00,2503.20,1872.40,3.92,3138.00,2.01
2250.00,2566.40,1921.30,3.95,3464.00,1.86
