560.00,20407.00,15751.00,239.96,16399.00,11743.00,216.12,18959.00,14303.00,210.44,16654.00,11998.00,224.15,16363.00,11707.00,210.00,560.00
570.00,20870.00,16131.00,240.79,16701.00,11961.00,216.65,19318.00,14579.00,211.08,16971.00,12232.00,224.71,16662.00,11923.00,210.53,570.00
580.00,21337.00,16515.00,241.60,17003.00,12181.00,217.18,19678.00,14856.00,211.70,17290.00,12467.00,225.26,16962.00,12139.00,211.05,580.00
590.00,21807.00,16902.00,242.41,17307.00,12401.00,217.69,20039.00,15134.00,212.32,17609.00,12703.00,225.81,17262.00,12356.00,211.56,590.00
600.00,22280.00,17291.00,243.20,17611.00,12622.00,218.20,20402.00,15413.00,212.92,17929.00,12940.00,226.35,17563.00,12574.00,212.07,600.00
610.00,22754.00,17683.00,243.98,17915.00,12843.00,218.71,20765.00,15693.00,213.53,18250.00,13178.00,226.88,17864.00,12792.00,212.56,610.00
620.00,23231.00,18076.00,244.76,18221.00,13066.00,219.21,21130.00,15975.00,214.12,18572.00,13417.00,227.40,18166.00,13011.00,213.06,620.00
630.00,23709.00,18471.00,245.52,18527.00,13289.00,219.70,21495.00,16257.00,214.71,18895.00,13657.00,227.92,18468.00,13230.00,213.54,630.00
640.00,24190.00,18869.00,246.28,18833.00,13512.00,220.18,21862.00,16541.00,215.29,19219.00,13898.00,228.43,18772.00,13450.00,214.02,640.00
650.00,24674.00,19270.00,247.03,19141.00,13736.00,220.66,22230.00,16826.00,215.86,19544.00,14140.00,228.93,19075.00,13671.00,214.49,650.00
660.00,25160.00,19672.00,247.77,19449.00,13962.00,221.13,22600.00,17112.00,216.42,19870.00,14383.00,229.43,19380.00,13892.00,214.95,660.00
670.00,25648.00,20078.00,248.51,19758.00,14187.00,221.59,22970.00,17399.00,216.98,20197.00,14626.00,229.92,19685.00,14114.00,215.41,670.00
680.00,26138.00,20484.00,249.23,20068.00,14414.00,222.05,23342.00,17688.00,217.53,20524.00,14871.00,230.41,19991.00,14337.00,215.87,680.00
690.00,26631.00,20894.00,249.95,20378.00,14641.00,222.51,23714.00,17978.00,218.07,20854.00,15116.00,230.89,20297.00,14560.00,216.31,690.00
700.00,27125.00,21305.00,250.66,20690.00,14870.00,222.95,24088.00,18268.00,218.61,21184.00,15364.00,231.36,20604.00,14784.00,216.76,700.00
710.00,27622.00,21719.00,251.37,21002.00,15099.00,223.40,24464.00,18561.00,219.14,21514.00,15611.00,231.83,20912.00,15008.00,217.19,710.00
720.00,28121.00,22134.00,252.07,21315.00,15328.00,223.83,24840.00,18854.00,219.67,21845.00,15859.00,232.29,21220.00,15234.00,217.62,720.00
730.00,28622.00,22552.00,252.76,21628.00,15558.00,224.27,25218.00,19148.00,220.19,22177.00,16107.00,232.75,21529.00,15460.00,218.06,730.00
740.00,29124.00,22972.00,253.44,21943.00,15789.00,224.69,25597.00,19444.00,220.71,22510.00,16357.00,233.20,21839.00,15686.00,218.47,740.00
750.00,29629.00,23393.00,254.12,22258.00,16022.00,225.12,25977.00,19741.00,221.22,22844.00,16607.00,233.65,22149.00,15913.00,218.89,750.00
760.00,30135.00,23817.00,254.79,22573.00,16255.00,225.53,26358.00,20039.00,221.72,23178.00,16859.00,234.09,22460.00,16141.00,219.30,760.00
770.00,30644.00,24242.00,255.45,22890.00,16488.00,225.95,26741.00,20339.00,222.22,23513.00,17111.00,234.53,22772.00,16370.00,219.71,770.00
780.00,31154.00,24669.00,256.11,23208.00,16723.00,226.36,27125.00,20639.00,222.72,23850.00,17364.00,234.96,23085.00,16599.00,220.11,780.00
790.00,31665.00,25097.00,256.76,23526.00,16957.00,226.76,27510.00,20941.00,223.21,24186.00,17618.00,235.39,23398.00,16830.00,220.51,790.00
800.00,32179.00,25527.00,257.41,23844.00,17193.00,227.16,27896.00,21245.00,223.69,24523.00,17872.00,235.81,23714.00,17061.00,220.91,800.00
810.00,32694.00,25959.00,258.05,24164.00,17429.00,227.56,28284.00,21549.00,224.17,24861.00,18126.00,236.23,24027.00,17292.00,221.30,810.00
820.00,33212.00,26394.00,258.68,24483.00,17665.00,227.95,28672.00,21855.00,224.65,25199.00,18382.00,236.64,24342.00,17524.00,221.68,820.00
830.00,33730.00,26829.00,259.31,24803.00,17902.00,228.34,29062.00,22162.00,225.12,25537.00,18637.00,237.06,24658.00,17757.00,222.07,830.00
840.00,34251.00,27267.00,259.93,25124.00,18140.00,228.72,29454.00,22470.00,225.59,25877.00,18893.00,237.46,24974.00,17990.00,222.45,840.00
850.00,34773.00,27706.00,260.55,25446.00,18379.00,229.11,29846.00,22779.00,226.06,26218.00,19150.00,237.86,25292.00,18224.00,222.82,850.00
860.00,35296.00,28125.00,261.16,25768.00,18617.00,229.48,30240.00,23090.00,226.52,26559.00,19408.00,238.26,25610.00,18459.00,223.19,860.00
870.00,35821.00,28588.00,261.77,26091.00,18858.00,229.86,30635.00,23402.00,226.97,26899.00,19666.00,238.66,25928.00,18695.00,223.56,870.00
880.00,36347.00,29031.00,262.37,26415.00,19099.00,230.23,31032.00,23715.00,227.43,27242.00,19925.00,239.05,26248.00,18931.00,223.93,880.00
890.00,36876.00,29476.00,262.97,26740.00,19341.00,230.59,31429.00,24029.00,227.88,27584.00,20185.00,239.44,26568.00,19168.00,224.29,890.00
900.00,37405.00,29922.00,263.56,27066.00,19583.00,230.96,31828.00,24345.00,228.32,27928.00,20445.00,239.82,26890.00,19407.00,224.65,900.00
910.00,37935.00,30369.00,264.15,27392.00,19826.00,231.32,32228.00,24662.00,228.76,28272.00,20706.00,240.20,27210.00,19644.00,225.00,910.00
920.00,38467.00,30818.00,264.73,27719.00,20070.00,231.67,32629.00,24980.00,229.20,28616.00,20967.00,240.58,27532.00,19883.00,225.35,920.00
930.00,39000.00,31268.00,265.30,28046.00,20314.00,232.03,33032.00,25300.00,229.64,28960.00,21228.00,240.95,27854.00,20122.00,225.70,930.00
940.00,39535.00,31719.00,265.88,28375.00,20559.00,232.38,33436.00,25621.00,230.07,29306.00,21491.00,241.32,28178.00,20362.00,226.05,940.00
950.00,40070.00,32171.00,266.44,28703.00,20805.00,232.73,33841.00,25943.00,230.50,29652.00,21754.00,241.69,28501.00,20603.00,226.39,950.00
960.00,40607.00,32625.00,267.01,29033.00,21051.00,233.07,34247.00,26265.00,230.92,29999.00,22017.00,242.05,28826.00,20844.00,226.73,960.00
970.00,41145.00,33081.00,267.57,29362.00,21298.00,233.41,34653.00,26588.00,231.35,30345.00,22280.00,242.41,29151.00,21086.00,227.06,970.00
980.00,41685.00,33537.00,268.12,29693.00,21545.00,233.75,35061.00,26913.00,231.77,30692.00,22544.00,242.77,29476.00,21328.00,227.40,980.00
990.00,42226.00,33995.00,268.67,30024.00,21793.00,234.09,35472.00,27240.00,232.18,31041.00,22809.00,243.12,29803.00,21571.00,227.73,990.00
1000.00,42769.00,34455.00,269.22,30355.00,22041.00,234.42,35882.00,27568.00,232.60,31389.00,23075.00,243.47,30129.00,21815.00,228.06,1000.00
1020.00,43859.00,35378.00,270.29,31020.00,22540.00,235.08,36709.00,28228.00,233.42,32088.00,23607.00,244.16,30784.00,22304.00,228.71,1020.00
1040.00,44953.00,36306.00,271.35,31688.00,23041.00,235.73,37542.00,28895.00,234.22,32789.00,24142.00,244.84,31442.00,22795.00,229.34,1040.00
1060.00,46051.00,37238.00,272.40,32357.00,23544.00,236.36,38380.00,29567.00,235.02,33490.00,24677.00,245.51,32101.00,23288.00,229.97,1060.00
1080.00,47153.00,38174.00,273.43,33029.00,24049.00,236.99,39223.00,30243.00,235.81,34194.00,25214.00,246.17,32762.00,23782.00,230.59,1080.00
1100.00,48258.00,39112.00,274.45,33702.00,24557.00,237.61,40071.00,30925.00,236.58,34899.00,25753.00,246.82,33426.00,24280.00,231.20,1100.00
1120.00,49369.00,40057.00,275.44,34377.00,25065.00,238.22,40923.00,31611.00,237.35,35606.00,26294.00,247.45,34092.00,24780.00,231.80,1120.00
1140.00,50484.00,41006.00,276.43,35054.00,25575.00,238.82,41780.00,32301.00,238.11,36314.00,26836.00,248.08,34760.00,25282.00,232.39,1140.00
1160.00,51602.00,41957.00,277.40,35733.00,26088.00,239.41,42642.00,32997.00,238.86,37023.00,27379.00,248.70,35430.00,25786.00,232.97,1160.00
1180.00,52724.00,42913.00,278.36,36406.00,26602.00,239.99,43509.00,33698.00,239.60,37734.00,27923.00,249.31,36104.00,26291.00,233.55,1180.00
1200.00,53848.00,43871.00,279.31,37095.00,27118.00,240.66,44380.00,34403.00,240.33,38447.00,28469.00,249.91,36777.00,26799.00,234.12,1200.00
1220.00,54977.00,44834.00,280.24,37780.00,27637.00,241.13,45256.00,35112.00,241.06,39162.00,29018.00,250.50,37452.00,27308.00,234.67,1220.00
1240.00,56108.00,45799.00,281.16,38466.00,28426.00,241.69,46137.00,35827.00,241.77,39877.00,29568.00,251.08,38129.00,27819.00,235.22,1240.00
1260.00,57244.00,46768.00,282.07,39154.00,28678.00,242.24,47022.00,36546.00,242.48,40594.00,30118.00,251.65,38807.00,28331.00,235.77,1260.00
